,subdir,config,start date,start time,end date,end time,dataset,user_num,item_num,inter_num,user_filter,item_filter,threshold,model_type,train_split,eval_split,eval_valid_mode,eval_test_mode,eval_valid_metric,dist_loss_w,train_0:loss_name,train_0:users_emb,train_0:items_emb,train_0:particular,train_0:set_outputs,train_0:set_trainable,train_0:train_ds_ind,train_0:config,train_0:best_val_score,train_0:best_val_res,train_0:best_test_res,train_1:loss_name,train_1:users_emb,train_1:items_emb,train_1:particular,train_1:set_outputs,train_1:set_trainable,train_1:train_ds_ind,train_1:config,train_1:best_val_score,train_1:best_val_res,train_1:best_test_res
0,neumf/baseline_bandle_1,exp_0_NeuMF_ml1m_00r.yaml,2024-05-04,12:53:18,,,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,MRR@10,0.1,,,,,,[],,[],,,,,,,,,[],,[],,,
1,neumf/baseline_bandle_1,exp_0_NeuMF_ml1m_00r.yaml,2024-05-04,12:53:18,2024-05-04,13:51:40,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,MRR@10,0.1,NeumfUserRMSE,user64.pt,,1.0,,[],0.0,[{'epochs': 20}],0.3913,"OrderedDict([('recall@10', 0.2135), ('recall@6', 0.1483), ('recall@3', 0.0857), ('mrr@10', 0.3913), ('mrr@6', 0.3767), ('mrr@3', 0.3363), ('map@10', 0.1138), ('map@6', 0.1188), ('map@3', 0.147), ('ndcg@10', 0.2203), ('ndcg@6', 0.2075), ('ndcg@3', 0.2084), ('hit@10', 0.7969), ('hit@6', 0.677), ('hit@3', 0.4855), ('precision@10', 0.1605), ('precision@6', 0.182), ('precision@3', 0.2039)])","OrderedDict([('recall@10', 0.2236), ('recall@6', 0.1557), ('recall@3', 0.0931), ('mrr@10', 0.423), ('mrr@6', 0.4091), ('mrr@3', 0.3681), ('map@10', 0.1241), ('map@6', 0.1304), ('map@3', 0.1661), ('ndcg@10', 0.2365), ('ndcg@6', 0.2242), ('ndcg@3', 0.231), ('hit@10', 0.8256), ('hit@6', 0.7125), ('hit@3', 0.519), ('precision@10', 0.1716), ('precision@6', 0.1935), ('precision@3', 0.2243)])",,,,,,[],,[],,,
2,neumf/baseline_bandle_1,exp_0_NeuMF_ml1m_00v.yaml,2024-05-04,13:51:43,2024-05-04,14:50:49,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,AUC,0.1,NeumfUserRMSE,user64.pt,,1.0,,[],0.0,[{'epochs': 20}],0.7575,"OrderedDict([('auc', 0.7575), ('mae', 0.2538), ('rmse', 0.4544), ('logloss', 0.9749)])","OrderedDict([('auc', 0.7659), ('mae', 0.2437), ('rmse', 0.4432), ('logloss', 0.9077)])",,,,,,[],,[],,,
3,neumf/baseline_bandle_1,exp_0_NeuMF_ml1m_01ra.yaml,2024-05-04,14:50:52,2024-05-04,16:40:45,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,MRR@10,0.1,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 30}],0.4174,"OrderedDict([('recall@10', 0.2245), ('recall@6', 0.1559), ('recall@3', 0.0924), ('mrr@10', 0.4174), ('mrr@6', 0.401), ('mrr@3', 0.3623), ('map@10', 0.1222), ('map@6', 0.1272), ('map@3', 0.1591), ('ndcg@10', 0.2331), ('ndcg@6', 0.2192), ('ndcg@3', 0.2232), ('hit@10', 0.8233), ('hit@6', 0.6899), ('hit@3', 0.5068), ('precision@10', 0.1666), ('precision@6', 0.188), ('precision@3', 0.2149)])","OrderedDict([('recall@10', 0.2424), ('recall@6', 0.1668), ('recall@3', 0.0975), ('mrr@10', 0.43), ('mrr@6', 0.4146), ('mrr@3', 0.3745), ('map@10', 0.133), ('map@6', 0.1377), ('map@3', 0.1707), ('ndcg@10', 0.25), ('ndcg@6', 0.2342), ('ndcg@3', 0.2369), ('hit@10', 0.8446), ('hit@6', 0.7191), ('hit@3', 0.5309), ('precision@10', 0.1825), ('precision@6', 0.2039), ('precision@3', 0.2315)])",,,,,,[],,[],,,
4,neumf/baseline_bandle_1,exp_0_NeuMF_ml1m_01rb.yaml,2024-05-04,16:40:48,2024-05-04,18:30:14,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,MRR@10,0.3,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 30}],0.4069,"OrderedDict([('recall@10', 0.2251), ('recall@6', 0.1545), ('recall@3', 0.0891), ('mrr@10', 0.4069), ('mrr@6', 0.3909), ('mrr@3', 0.3477), ('map@10', 0.1181), ('map@6', 0.1215), ('map@3', 0.1514), ('ndcg@10', 0.2294), ('ndcg@6', 0.2132), ('ndcg@3', 0.2147), ('hit@10', 0.8304), ('hit@6', 0.7026), ('hit@3', 0.5), ('precision@10', 0.1667), ('precision@6', 0.1849), ('precision@3', 0.2093)])","OrderedDict([('recall@10', 0.2378), ('recall@6', 0.1643), ('recall@3', 0.0958), ('mrr@10', 0.438), ('mrr@6', 0.4229), ('mrr@3', 0.3835), ('map@10', 0.1324), ('map@6', 0.1385), ('map@3', 0.1725), ('ndcg@10', 0.2487), ('ndcg@6', 0.235), ('ndcg@3', 0.2391), ('hit@10', 0.8365), ('hit@6', 0.7135), ('hit@3', 0.5294), ('precision@10', 0.18), ('precision@6', 0.2025), ('precision@3', 0.2296)])",,,,,,[],,[],,,
5,neumf/baseline_bandle_1,exp_0_NeuMF_ml1m_01va.yaml,2024-05-04,18:30:18,2024-05-04,20:29:52,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,AUC,0.1,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 30}],0.7607,"OrderedDict([('auc', 0.7607), ('mae', 0.2709), ('rmse', 0.4644), ('logloss', 0.9412)])","OrderedDict([('auc', 0.7669), ('mae', 0.2616), ('rmse', 0.4544), ('logloss', 0.8843)])",,,,,,[],,[],,,
6,neumf/baseline_bandle_1,exp_0_NeuMF_ml1m_01vb.yaml,2024-05-04,20:29:56,2024-05-04,22:30:56,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,AUC,0.3,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 30}],0.7564,"OrderedDict([('auc', 0.7564), ('mae', 0.2543), ('rmse', 0.4676), ('logloss', 1.3082)])","OrderedDict([('auc', 0.7613), ('mae', 0.2443), ('rmse', 0.4568), ('logloss', 1.2159)])",,,,,,[],,[],,,
7,neumf/baseline_bandle_1,exp_0_NeuMF_ml1m_02ra.yaml,2024-05-04,22:31:00,2024-05-05,00:18:17,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,MRR@10,0.1,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.4006,"OrderedDict([('recall@10', 0.226), ('recall@6', 0.1544), ('recall@3', 0.0894), ('mrr@10', 0.4006), ('mrr@6', 0.3839), ('mrr@3', 0.342), ('map@10', 0.1173), ('map@6', 0.1199), ('map@3', 0.1465), ('ndcg@10', 0.2282), ('ndcg@6', 0.2113), ('ndcg@3', 0.2098), ('hit@10', 0.8319), ('hit@6', 0.695), ('hit@3', 0.4985), ('precision@10', 0.1664), ('precision@6', 0.1849), ('precision@3', 0.2055)])","OrderedDict([('recall@10', 0.2363), ('recall@6', 0.164), ('recall@3', 0.095), ('mrr@10', 0.4358), ('mrr@6', 0.4216), ('mrr@3', 0.3818), ('map@10', 0.1322), ('map@6', 0.1384), ('map@3', 0.1717), ('ndcg@10', 0.2478), ('ndcg@6', 0.2349), ('ndcg@3', 0.2386), ('hit@10', 0.8339), ('hit@6', 0.7183), ('hit@3', 0.5317), ('precision@10', 0.1798), ('precision@6', 0.2033), ('precision@3', 0.2304)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",0.0,[{'epochs': 20}],0.4181,"OrderedDict([('recall@10', 0.2316), ('recall@6', 0.1625), ('recall@3', 0.0949), ('mrr@10', 0.4181), ('mrr@6', 0.404), ('mrr@3', 0.3625), ('map@10', 0.125), ('map@6', 0.1293), ('map@3', 0.1601), ('ndcg@10', 0.2375), ('ndcg@6', 0.2236), ('ndcg@3', 0.2254), ('hit@10', 0.8273), ('hit@6', 0.713), ('hit@3', 0.5172), ('precision@10', 0.1702), ('precision@6', 0.1933), ('precision@3', 0.2194)])","OrderedDict([('recall@10', 0.2437), ('recall@6', 0.172), ('recall@3', 0.0979), ('mrr@10', 0.4385), ('mrr@6', 0.4248), ('mrr@3', 0.3824), ('map@10', 0.136), ('map@6', 0.1428), ('map@3', 0.175), ('ndcg@10', 0.2536), ('ndcg@6', 0.2413), ('ndcg@3', 0.2417), ('hit@10', 0.8446), ('hit@6', 0.7328), ('hit@3', 0.5358), ('precision@10', 0.1843), ('precision@6', 0.2104), ('precision@3', 0.2347)])"
8,neumf/baseline_bandle_1,exp_0_NeuMF_ml1m_02rb.yaml,2024-05-05,00:18:21,2024-05-05,01:22:24,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,MRR@10,0.1,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.1421,"OrderedDict([('recall@10', 0.0671), ('recall@6', 0.0426), ('recall@3', 0.0225), ('mrr@10', 0.1421), ('mrr@6', 0.1288), ('mrr@3', 0.1067), ('map@10', 0.0282), ('map@6', 0.0304), ('map@3', 0.0395), ('ndcg@10', 0.0678), ('ndcg@6', 0.0618), ('ndcg@3', 0.0605), ('hit@10', 0.3773), ('hit@6', 0.2677), ('hit@3', 0.162), ('precision@10', 0.0526), ('precision@6', 0.0554), ('precision@3', 0.0591)])","OrderedDict([('recall@10', 0.0674), ('recall@6', 0.0421), ('recall@3', 0.022), ('mrr@10', 0.1403), ('mrr@6', 0.127), ('mrr@3', 0.1044), ('map@10', 0.0286), ('map@6', 0.0303), ('map@3', 0.0396), ('ndcg@10', 0.0683), ('ndcg@6', 0.0614), ('ndcg@3', 0.0601), ('hit@10', 0.3778), ('hit@6', 0.2688), ('hit@3', 0.159), ('precision@10', 0.0542), ('precision@6', 0.0559), ('precision@3', 0.0588)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",2.0,[{'epochs': 20}],0.3461,"OrderedDict([('recall@10', 0.1961), ('recall@6', 0.1338), ('recall@3', 0.0764), ('mrr@10', 0.3461), ('mrr@6', 0.3292), ('mrr@3', 0.289), ('map@10', 0.0976), ('map@6', 0.0988), ('map@3', 0.1219), ('ndcg@10', 0.1927), ('ndcg@6', 0.1764), ('ndcg@3', 0.175), ('hit@10', 0.7454), ('hit@6', 0.6075), ('hit@3', 0.4173), ('precision@10', 0.1367), ('precision@6', 0.1517), ('precision@3', 0.1698)])","OrderedDict([('recall@10', 0.2066), ('recall@6', 0.1407), ('recall@3', 0.0801), ('mrr@10', 0.3544), ('mrr@6', 0.3363), ('mrr@3', 0.2953), ('map@10', 0.104), ('map@6', 0.1051), ('map@3', 0.1281), ('ndcg@10', 0.2028), ('ndcg@6', 0.1853), ('ndcg@3', 0.1825), ('hit@10', 0.7718), ('hit@6', 0.6237), ('hit@3', 0.4303), ('precision@10', 0.1454), ('precision@6', 0.1604), ('precision@3', 0.1788)])"
9,neumf/baseline_bandle_1,exp_0_NeuMF_ml1m_02rc.yaml,2024-05-05,01:22:29,2024-05-05,02:27:01,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,MRR@10,0.3,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.1419,"OrderedDict([('recall@10', 0.0682), ('recall@6', 0.0436), ('recall@3', 0.0228), ('mrr@10', 0.1419), ('mrr@6', 0.1284), ('mrr@3', 0.1055), ('map@10', 0.0281), ('map@6', 0.0303), ('map@3', 0.0397), ('ndcg@10', 0.0681), ('ndcg@6', 0.0621), ('ndcg@3', 0.0609), ('hit@10', 0.3844), ('hit@6', 0.2733), ('hit@3', 0.1633), ('precision@10', 0.0532), ('precision@6', 0.0566), ('precision@3', 0.0602)])","OrderedDict([('recall@10', 0.0722), ('recall@6', 0.0473), ('recall@3', 0.0233), ('mrr@10', 0.1447), ('mrr@6', 0.1321), ('mrr@3', 0.1062), ('map@10', 0.0297), ('map@6', 0.0319), ('map@3', 0.0405), ('ndcg@10', 0.0713), ('ndcg@6', 0.0654), ('ndcg@3', 0.0617), ('hit@10', 0.3933), ('hit@6', 0.289), ('hit@3', 0.164), ('precision@10', 0.056), ('precision@6', 0.0606), ('precision@3', 0.0611)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",2.0,[{'epochs': 20}],0.3478,"OrderedDict([('recall@10', 0.1974), ('recall@6', 0.1348), ('recall@3', 0.0765), ('mrr@10', 0.3478), ('mrr@6', 0.331), ('mrr@3', 0.2894), ('map@10', 0.0976), ('map@6', 0.0994), ('map@3', 0.1217), ('ndcg@10', 0.1938), ('ndcg@6', 0.1783), ('ndcg@3', 0.1754), ('hit@10', 0.7546), ('hit@6', 0.6164), ('hit@3', 0.4191), ('precision@10', 0.1382), ('precision@6', 0.1543), ('precision@3', 0.1707)])","OrderedDict([('recall@10', 0.215), ('recall@6', 0.1479), ('recall@3', 0.0853), ('mrr@10', 0.3753), ('mrr@6', 0.3585), ('mrr@3', 0.3174), ('map@10', 0.1119), ('map@6', 0.1135), ('map@3', 0.1382), ('ndcg@10', 0.2136), ('ndcg@6', 0.1968), ('ndcg@3', 0.1949), ('hit@10', 0.7814), ('hit@6', 0.6443), ('hit@3', 0.4501), ('precision@10', 0.1509), ('precision@6', 0.1684), ('precision@3', 0.1884)])"
